crate	version	spdx_license	registry_source	crate_sha256	vendor_directory	legal_files	legal_provenance
percent-encoding	2.3.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	9b4f627cb1b25917193a259e49bdad08f671f8d9708acfd5fe0a8c1455d87220	percent-encoding-2.3.2	LICENSE-APACHE;LICENSE-MIT	crate:percent-encoding-2.3.2/LICENSE-APACHE;crate:percent-encoding-2.3.2/LICENSE-MIT
proc-macro2	1.0.107	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	985e7ec9bb745e6ce6535b544d84d6cd6f7ad8bd711c398938ae983b91a766d9	proc-macro2-1.0.107	LICENSE-APACHE;LICENSE-MIT	crate:proc-macro2-1.0.107/LICENSE-APACHE;crate:proc-macro2-1.0.107/LICENSE-MIT
quote	1.0.47	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	1fbf4db142a473a8d80c26bbf18454ed458bf8d26c8219c331daecfdbd079001	quote-1.0.47	LICENSE-APACHE;LICENSE-MIT	crate:quote-1.0.47/LICENSE-APACHE;crate:quote-1.0.47/LICENSE-MIT
regex-automata	0.4.16	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	8fcfdb36bda0c880c5931cdc7a2bcdc8ba4556847b9d912bca70bc94708711ad	regex-automata-0.4.16	LICENSE-APACHE;LICENSE-MIT	crate:regex-automata-0.4.16/LICENSE-APACHE;crate:regex-automata-0.4.16/LICENSE-MIT
regex-syntax	0.8.11	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	d6f6ff9a378485b298a5286656da665ba74413d36db0979633275d2e708145d4	regex-syntax-0.8.11	LICENSE-APACHE;LICENSE-MIT;src/unicode_tables/LICENSE-UNICODE	crate:regex-syntax-0.8.11/LICENSE-APACHE;crate:regex-syntax-0.8.11/LICENSE-MIT;crate:regex-syntax-0.8.11/src/unicode_tables/LICENSE-UNICODE
regex	1.13.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	f020237b6c8eed93db2e2cb53c00c60a8e1bc73da7d073199a1180401450218d	regex-1.13.1	LICENSE-APACHE;LICENSE-MIT	crate:regex-1.13.1/LICENSE-APACHE;crate:regex-1.13.1/LICENSE-MIT
semver	1.0.28	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	8a7852d02fc848982e0c167ef163aaff9cd91dc640ba85e263cb1ce46fae51cd	semver-1.0.28	LICENSE-APACHE;LICENSE-MIT	crate:semver-1.0.28/LICENSE-APACHE;crate:semver-1.0.28/LICENSE-MIT
syn	2.0.119	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	872831b642d1a07999a962a351ed35b955ea2cfc8f3862091e2a240a84f17297	syn-2.0.119	LICENSE-APACHE;LICENSE-MIT	crate:syn-2.0.119/LICENSE-APACHE;crate:syn-2.0.119/LICENSE-MIT
syn	3.0.3	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	53e9bae58849f64dfa4f5d5ae372c8341f7305f82a3868709269343628b659a3	syn-3.0.3	LICENSE-APACHE;LICENSE-MIT	crate:syn-3.0.3/LICENSE-APACHE;crate:syn-3.0.3/LICENSE-MIT
thiserror-impl	2.0.19	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	43cbfe0cf76104d42a574802844187e84a305e531ed54455f11fbde0f10541cd	thiserror-impl-2.0.19	LICENSE-APACHE;LICENSE-MIT	crate:thiserror-impl-2.0.19/LICENSE-APACHE;crate:thiserror-impl-2.0.19/LICENSE-MIT
thiserror	2.0.19	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	09a43598840e33d5b0331f38c5e30d13bb11c11210a4b58f0d9b18a5a5eefcd9	thiserror-2.0.19	LICENSE-APACHE;LICENSE-MIT	crate:thiserror-2.0.19/LICENSE-APACHE;crate:thiserror-2.0.19/LICENSE-MIT
tinyvec	1.12.0	Zlib OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index	bb4ebadaa0af04fab11ae01eb5f9fdb5f9c5b875506e210e71c07873528baa7f	tinyvec-1.12.0	LICENSE-APACHE.md;LICENSE-MIT.md;LICENSE-ZLIB.md	crate:tinyvec-1.12.0/LICENSE-APACHE.md;crate:tinyvec-1.12.0/LICENSE-MIT.md;crate:tinyvec-1.12.0/LICENSE-ZLIB.md
tinyvec_macros	0.1.1	MIT OR Apache-2.0 OR Zlib	registry+https://github.com/rust-lang/crates.io-index	1f3ccbac311fea05f86f61904b462b55fb3df8837a366dfc601a0161d0532f20	tinyvec_macros-0.1.1	LICENSE-APACHE.md;LICENSE-MIT.md;LICENSE-ZLIB.md	crate:tinyvec_macros-0.1.1/LICENSE-APACHE.md;crate:tinyvec_macros-0.1.1/LICENSE-MIT.md;crate:tinyvec_macros-0.1.1/LICENSE-ZLIB.md
unicode-bidi	0.3.18	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	5c1cb5db39152898a79168971543b1cb5020dff7fe43c8dc468b0885f5e29df5	unicode-bidi-0.3.18	AUTHORS;COPYRIGHT;LICENSE-APACHE;LICENSE-MIT	crate:unicode-bidi-0.3.18/AUTHORS;crate:unicode-bidi-0.3.18/COPYRIGHT;crate:unicode-bidi-0.3.18/LICENSE-APACHE;crate:unicode-bidi-0.3.18/LICENSE-MIT
unicode-ident	1.0.24	(MIT OR Apache-2.0) AND Unicode-3.0	registry+https://github.com/rust-lang/crates.io-index	e6e4313cd5fcd3dad5cafa179702e2b244f760991f45397d14d4ebf38247da75	unicode-ident-1.0.24	LICENSE-APACHE;LICENSE-MIT;LICENSE-UNICODE	crate:unicode-ident-1.0.24/LICENSE-APACHE;crate:unicode-ident-1.0.24/LICENSE-MIT;crate:unicode-ident-1.0.24/LICENSE-UNICODE
