# Extracted from go version -m extra/sidecar/sing-box.exe
# Binary SHA-256 (resources-lock): db0d779948214cf761011d154c3a5da36df20394fa01a9fc798f1dc39fe9d183
# Go toolchain: go1.26.4
# Module: github.com/sagernet/sing-box@v1.13.14
# Format: path	version	sum
dep	github.com/logrusorgru/aurora	v2.0.3+incompatible	h1:tOpm7WcpBTn4fjmVfgpQq0EfczGlG91VSDkswnjF5A8=
dep	github.com/metacubex/utls	v1.8.4	h1:HmL9nUApDdWSkgUyodfwF6hSjtiwCGGdyhaSpEejKpg=
dep	github.com/mholt/acmez/v3	v3.1.6	h1:eGVQNObP0pBN4sxqrXeg7MYqTOWyoiYpQqITVWlrevk=
dep	github.com/miekg/dns	v1.1.72	h1:vhmr+TF2A3tuoGNkLDFK9zi36F2LS+hKTRW0Uf8kbzI=
dep	github.com/mitchellh/go-ps	v1.0.0	h1:i6ampVEEF4wQFF+bkYfwYgY+F/uYJDktmvLPf7qIgjc=
dep	github.com/openai/openai-go/v3	v3.26.0	h1:bRt6H/ozMNt/dDkN4gobnLqaEGrRGBzmbVs0xxJEnQE=
dep	github.com/oschwald/maxminddb-golang	v1.13.1	h1:G3wwjdN9JmIK2o/ermkHM+98oX5fS+k5MbwsmL4MRQE=
dep	github.com/pierrec/lz4/v4	v4.1.21	h1:yOVMLb6qSIDP67pl/5F7RepeKYu/VmTyEXvuMI5d9mQ=
dep	github.com/pires/go-proxyproto	v0.8.1	h1:9KEixbdJfhrbtjpz/ZwCdWDD2Xem0NZ38qMYaASJgp0=
dep	github.com/quic-go/qpack	v0.6.0	h1:g7W+BMYynC1LbYLSqRt8PBg5Tgwxn214ZZR34VIOjz8=
dep	github.com/sagernet/bbolt	v0.0.0-20231014093535-ea5cb2fe9f0a	h1:+NkI2670SQpQWvkkD2QgdTuzQG263YZ+2emfpeyGqW0=
dep	github.com/sagernet/cors	v1.2.1	h1:Cv5Z8y9YSD6Gm+qSpNrL3LO4lD3eQVvbFYJSG7JCMHQ=
dep	github.com/sagernet/cronet-go	v0.0.0-20260620140045-05ab0dc17597	h1:QkwE/ZFnShDuPF+ExmAyZlQaMwFNgkYZMekrabiStfg=
dep	github.com/sagernet/cronet-go/all	v0.0.0-20260620140045-05ab0dc17597	h1:cLALmGKP9eOS8622gWQIiVbZlOfH29PGNsoxbEloIdk=
dep	github.com/sagernet/cronet-go/lib/windows_amd64	v0.0.0-20260620135226-def9ff0fb992	h1:Lv8gtKP4QRn6Yjv3h5L215aGQBgwCyAE5YqejmN9Bqc=
dep	github.com/sagernet/fswatch	v0.1.2	h1:/TT7k4mkce1qFPxamLO842WjqBgbTBiXP2mlUjp9PFk=
dep	github.com/sagernet/gvisor	v0.0.0-20250811.0-sing-box-mod.1	h1:AzCE2RhBjLJ4WIWc/GejpNh+z30d5H1hwaB0nD9eY3o=
dep	github.com/sagernet/quic-go	v0.59.0-sing-box-mod.4	h1:6qvrUW79S+CrPwWz6cMePXohgjHoKxLo3c+MDhNwc3o=
dep	github.com/sagernet/sing	v0.8.11	h1:AKZRvjFPHtAXwGCjOJrzAQPiZxr8mobhuSUqkHf+VQw=
dep	github.com/sagernet/sing-mux	v0.3.5	h1:RHnhVEc+SFqkrK4xMygYjDwwLhzp2Bj3lztSukONfhI=
dep	github.com/sagernet/sing-quic	v0.6.1	h1:lx0tcm99wIA1RkyvILNzRSsMy1k7TTQYIhx71E/WBlw=
dep	github.com/sagernet/sing-shadowsocks	v0.2.8	h1:PURj5PRoAkqeHh2ZW205RWzN9E9RtKCVCzByXruQWfE=
dep	github.com/sagernet/sing-shadowsocks2	v0.2.1	h1:dWV9OXCeFPuYGHb6IRqlSptVnSzOelnqqs2gQ2/Qioo=
dep	github.com/sagernet/sing-shadowtls	v0.2.1-0.20250503051639-fcd445d33c11	h1:tK+75l64tm9WvEFrYRE1t0YxoFdWQqw/h7Uhzj0vJ+w=
dep	github.com/sagernet/sing-tun	v0.8.11	h1:BFu4+8LNl2JiTQtto5f+5AbkH90qgdoZEAqUbGiEXCg=
dep	github.com/sagernet/sing-vmess	v0.2.8-0.20250909125414-3aed155119a1	h1:aSwUNYUkVyVvdmBSufR8/nRFonwJeKSIROxHcm5br9o=
dep	github.com/sagernet/smux	v1.5.50-sing-box-mod.1	h1:XkJcivBC9V4wBjiGXIXZ229aZCU1hzcbp6kSkkyQ478=
dep	github.com/sagernet/tailscale	v1.92.4-sing-box-1.13-mod.7	h1:8zc1Aph1+ElqF9/7aSPkO0o4vTd+AfQC+CO324mLWGg=
dep	github.com/sagernet/wireguard-go	v0.0.2-beta.1.0.20260224074747-506b7631853c	h1:f9cXNB+IOOPnR8DOLMTpr42jf7naxh5Un5Y09BBf5Cg=
dep	github.com/sagernet/ws	v0.0.0-20231204124109-acfe8907c854	h1:6uUiZcDRnZSAegryaUGwPC/Fj13JSHwiTftrXhMmYOc=
dep	github.com/spf13/cobra	v1.10.2	h1:DMTTonx5m65Ic0GOoRY2c16WCbHxOOw6xxezuLaBpcU=
dep	github.com/spf13/pflag	v1.0.9	h1:9exaQaMOCwffKiiiYk6/BndUBv+iRViNW+4lEMi0PvY=
dep	github.com/tailscale/certstore	v0.1.1-0.20231202035212-d3fa0460f47e	h1:PtWT87weP5LWHEY//SWsYkSO3RWRZo4OSWagh3YD2vQ=
dep	github.com/tailscale/go-winio	v0.0.0-20231025203758-c4f33415bf55	h1:Gzfnfk2TWrk8Jj4P4c1a3CtQyMaTVCznlkLZI++hok4=
